en,fr,es
"Well, it appears you don't have running shoes yet. But it's your lucky day, because I've got a spare pair!\nlHere, you can have these.","Tiens, on dirait que vous n'avez pas de chaussures de course. Heureusement que j'ai toujours plein de choses pour les dresseurs!\nlJe vous donne cet exemplaire.","Parece que no tienes unas deportivas. ¡Por suerte, tengo un montón de cosas para entrenadores! Te regalaré estas deportivas."
\c[7]Press \k[B] to run!,\c[7]Appuyez sur \k[B] pour courir !,¡Pulsa B para correr!
"So, isn't it better when pressing \k[B]?","Alors, c'est mieux en appuyant sur \k[B] ?","Que, ¿a que es mejor presionando B?"
,,
,,
The Pokémon Centers are the best place to rest.,Les centres Pokémon sont les meilleurs lieux pour un peu de repos.,Los Centros Pokémon son el mejor sitio para descansar.
,,
,,
"\c[2]Scientist Isaac :\c[0] Hello! The device you see on my right is a Pokémon Storage System. It allows you to store and manage your Pokémon in boxes. When you already have 6 Pokémon in your party, the Pokémon you catch is automatically sent to the Pokémon Storage System.","\C[2]Isaac le Scientifique :\C[0] Bonjour ! L'appareil que tu vois à ma droite est un Ordinateur de Stockage Pokémon. Il te permet, comme son nom l'indique, de gérer les Pokémon que tu possèdes en les rangeant dans des boîtes. Lorsque tu possèdes déjà 6 Pokémon dans ton équipe, le dernier Pokémon capturé est directement envoyé dans l'Ordinateur.","¡Hola! El dispositivo que ves a mi derecha es un Sistema de Almacenamiento Pokémon. Te permite almacenar y administrar tus Pokémon en cajas. Cuando tienes 6 Pokémon en tu equipo, los Pokémon que capturas son enviados automáticamente al Sistema de Almacenamiento Pokémon."
\c[2]Scientist Isaac :\c[0] Would you like to learn more?,\C[2]Isaac le Scientifique :\C[0] Veux-tu en apprendre plus ?,¿Te gustaría saber más?
\c[2]Scientist Isaac :\c[0] What about?,\C[2]Isaac le Scientifique :\C[0] À quel sujet ?,¿De qué quieres saber más?
Store a Pokémon,Stockage d'un Pokémon,Almacenar Pokémon.
Create a parameterized Pokémon,Génération d'un Pokémon paramétré,Crear un Pokémon personalizado.
"\c[2]Scientist Isaac :\c[0] To store a Pokémon you should use the script command \c[2]store_pokemon(\c[1]pokemon_or_id, level, shiny\c[2])\c[0]. As you can see, we can store a Pokémon by generating it directly in the box with its id, or store an already generated Pokémon. In the latter case, you don't need to give the level and shiny parameters.","\C[2]Isaac le Scientifique :\C[0] Pour stocker un Pokémon, il faut utiliser la commande de script \c[2]stocker_pokemon(\c[1]pokemon_or_id, level, shiny\c[2])\c[0]. Comme tu peux le voir, on peut stocker un Pokémon en le générant avec son id, ou stocker un Pokémon déjà généré. Dans ce dernier cas, il n'est pas utile de remplir level et shiny.","Para almacenar un Pokémon, utiliza el comando store_pokemon(pokemon_or_id, level, shiny). Comoc puedes ver, podemos almacenar un Pokémon dándole su id o generándolo en primer lugar. Cuando quieres un Pokémon generado, no tienes que decirnos el nivel o si es shiny."
\c[2]Scientist Isaac :\c[0] Would you like to learn something else?,\C[2]Isaac le Scientifique :\C[0] Désires-tu savoir autre chose ?,¿Quieres aprender algo más?
"\c[2]Scientist Isaac :\c[0] To create a parameterized Pokémon, you should use the \c[2]::PFM::Pokemon.generate_from_hash()\c[0] command. For instance, if I want to add a male Eevee with the ability Anticipation, I enter in a script command \c[2]pokemon = ::PFM::Pokemon.generate_from_hash(\c[1]id: 133, level: 25, gender: 1, ability: 102\c[2])\c[0]. On the following line, I can write \c[2]add_pokemon(\c[1]pokemon\c[2])\c[0] to add it to the party.","\C[2]Isaac le Scientifique :\C[0] Pour générer un Pokémon paramétré, il faut utiliser la commande \c[2]::PFM::Pokemon.generate_from_hash()\c[0]. Par exemple, si je veux créer un Évoli paramétré, je rentre dans une commande de script : \c[2]pokemon = ::PFM::Pokemon.generate_from_hash(\c[1]id: 133, level: 25, gender: 1, ability: 102\c[2])\c[0]. Je génère alors un Évoli mâle de niveau 25, avec le Talent Anticipation. Libre à moi ensuite de l'ajouter à l'équipe du joueur avec \c[2]ajouter_pokemon(\c[1]pokemon\c[2])\c[0] un fois que j'ai stocké ce dernier dans une variable (ici pokemon).","\C[2]Isaac el Cientifico :\C[0]Para generar uno Pokemon conjunto, hay que usar la orden \C[2]::PFM::Pokemon.generate_from_hash()\C[0]. Por ejemplo, si yo quierro crear un Evoli conjunto, yo retornos en una orden de script : \C[2]pokemon = ::PFM::Pokemon.generate_from_hash(\C[1]id:133, level: 25, gender: 1, abylity: 102\C[2])\C[0]. Yo conjunto entonces un Evoli masculino du nivel 25, con el talento anticipaciòn. Libre para mi entonces de añadir a l'equipo del jugador con \C[2]añadir_pokemon(\C[1]pokemon\C[2])\C[0] por añadir a l'equipo."
"\c[2]Scientist Isaac :\c[0] I added a level 25 eevee to the Pokémon Storage System, go check it out!",\C[2]Isaac le Scientifique :\C[0] J'ai ajouté un Évoli niveau 25 directement dans ton PC. Va vérifier !,\C[2]Isaac el Cientifico :\C[0]Yo añadir un Evoli nivel 25 directamente en tu PC. Voluntad comprobar !
