en,fr,de,es,it,kana,ko
New game,Nouvelle partie,Neuer Teil,Nueva partida,Nuova parte,New game,새로운 파티
,,,,,,
Palbolsky,Palbolsky,Palbolsky,Palbolsky,Palbolsky,パルボルスキ,Palbolsky
Yuri,Yuri,Yuri,Yuri,Yuri,ゆり,Yuri
,,,,,,
,,,,,,
: infos,: infos,: infos,: información,: infos,: infos,: infos
: search,: rechercher,: search,: búsqueda,: search,: search,: search
: alt. list,: alt. liste,: alt. list,: alt. list,: alt. list,: alt. list,: alt. list
: cancel,: retour,: cancel,: cancelar,: cancel,: cancel,: cancel
: habitat,: habitat,: habitat,: hábitat,: habitat,: habitat,: habitat
: forms,: formes,: forms,: formas,: forms,: forms,: forms
: cry,: cri,: cry,: grito,: cry,: cry,: cry
: cancel,: retour,: cancel,: cancelar,: cancel,: cancel,: cancel
: infos,: infos,: infos,: infos,: infos,: infos,: infos
: sw. Pkmn,: éch. Pkmn,: sw. Pkmn,: sw. Pkmn,: sw. Pkmn,: sw. Pkmn,: sw. Pkmn
: sw. item,: éch. objet,: sw. item,: sw. item,: sw. item,: sw. item,: sw. item
: cancel,: retour,: cancel,: cancelar,: cancel,: cancel,: cancel
,,,,,,
Place,Lieu,Place,Lugar,Place,Place,Place
SEEN:,VUS :,SEEN:,SEEN:,SEEN:,SEEN:,SEEN:
OBTAINED:,PRIS :,OBTAINED:,OBTAINED:,OBTAINED:,OBTAINED:,OBTAINED:
Erase,Effacer,Erase,Erase,Erase,Erase,Erase
Space,Espace,Space,Space,Space,Space,Space
Caps,Maj,Caps,Caps,Caps,Caps,Caps
Confirm,Valider,Confirm,Confirm,Confirm,Confirm,Confirm
Exit,Quitter,Exit,Exit,Exit,Exit,Exit
Screen Size,Taille de l'écran,Screen Size,Screen Size,Screen Size,Screen Size,Screen Size
Change the game screen resolution.,Modifier la résolution de l'écran de jeu.,Change the game screen resolution.,Change the game screen resolution.,Change the game screen resolution.,Change the game screen resolution.,Change the game screen resolution.
Volume,Volume,Volume,Volume,Volume,Volume,Volume
Change the sound volume.,Modifier le volume sonore.,Change the sound volume.,Change the sound volume.,Change the sound volume.,Change the sound volume.,Change the sound volume.
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Trainer Memo,Mémo Dresseur,Trainer Memo,Trainer Memo,Trainer Memo,Trainer Memo,Trainer Memo
Infos,Info Pokémon,Infos,Infos,Infos,Infos,Infos
Skills,Aptitudes,Skills,Skills,Skills,Skills,Skills
Moves,Capacités Combat,Moves,Moves,Moves,Moves,Moves
Ability,Cap. Spé.,Ability,Ability,Ability,Ability,Ability
Contests,Concours,Contests,Contests,Contests,Contests,Contests
