Index,en,fr,de,es,it,kana,ko
0,New game,Nouvelle partie,Neuer Teil,Nueva partida,Nuova parte,New game,새로운 파티
1,,,,,,,
2,Palbolsky,Palbolsky,Palbolsky,Palbolsky,Palbolsky,パルボルスキ,Palbolsky
3,Yuri,Yuri,Yuri,Yuri,Yuri,ゆり,Yuri
4,,,,,,,
5,,,,,,,
6,: infos,: infos,: infos,: información,: infos,: infos,: infos
7,: search,: rechercher,: search,: búsqueda,: search,: search,: search
8,: alt. list,: alt. liste,: alt. list,: alt. list,: alt. list,: alt. list,: alt. list
9,: cancel,: retour,: cancel,: cancelar,: cancel,: cancel,: cancel
10,: habitat,: habitat,: habitat,: hábitat,: habitat,: habitat,: habitat
11,: forms,: formes,: forms,: formas,: forms,: forms,: forms
12,: cry,: cri,: cry,: grito,: cry,: cry,: cry
13,: cancel,: retour,: cancel,: cancelar,: cancel,: cancel,: cancel
14,: infos,: infos,: infos,: infos,: infos,: infos,: infos
15,: sw. Pkmn,: éch. Pkmn,: sw. Pkmn,: sw. Pkmn,: sw. Pkmn,: sw. Pkmn,: sw. Pkmn
16,: sw. item,: éch. objet,: sw. item,: sw. item,: sw. item,: sw. item,: sw. item
17,: cancel,: retour,: cancel,: cancelar,: cancel,: cancel,: cancel
18,,,,,,,
19,Place,Lieu,Place,Lugar,Place,Place,Place
20,SEEN:,VUS :,SEEN:,SEEN:,SEEN:,SEEN:,SEEN:
21,OBTAINED:,PRIS :,OBTAINED:,OBTAINED:,OBTAINED:,OBTAINED:,OBTAINED:
22,Erase,Effacer,Erase,Erase,Erase,Erase,Erase
23,Space,Espace,Space,Space,Space,Space,Space
24,Caps,Maj,Caps,Caps,Caps,Caps,Caps
25,Confirm,Valider,Confirm,Confirm,Confirm,Confirm,Confirm
26,Exit,Quitter,Exit,Exit,Exit,Exit,Exit
27,Screen Size,Taille de l'écran,Screen Size,Screen Size,Screen Size,Screen Size,Screen Size
28,Change the game screen resolution.,Modifier la résolution de l'écran de jeu.,Change the game screen resolution.,Change the game screen resolution.,Change the game screen resolution.,Change the game screen resolution.,Change the game screen resolution.
29,Volume,Volume,Volume,Volume,Volume,Volume,Volume
30,Change the sound volume.,Modifier le volume sonore.,Change the sound volume.,Change the sound volume.,Change the sound volume.,Change the sound volume.,Change the sound volume.
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,Trainer Memo,Mémo Dresseur,Trainer Memo,Trainer Memo,Trainer Memo,Trainer Memo,Trainer Memo
41,Infos,Info Pokémon,Infos,Infos,Infos,Infos,Infos
42,Skills,Aptitudes,Skills,Skills,Skills,Skills,Skills
43,Moves,Capacités Combat,Moves,Moves,Moves,Moves,Moves
44,Ability,Cap. Spé.,Ability,Ability,Ability,Ability,Ability
45,Contests,Concours,Contests,Contests,Contests,Contests,Contests
46,Ribbons,Rubans,Ribbons,Ribbons,Ribbons,Ribbons,Ribbons
47,,,,,,,
48,Main quests,Quêtes principales,Main quests,Main quests,Main quests,Main quests,Main quests
49,"Side quests
",Quêtes secondaires,Secondary quests,Secondary quests,Secondary quests,Secondary quests,Secondary quests
50,Failed quests,Quêtes échouées,Failed quests,Failed quests,Failed quests,Failed quests,Failed quests
51,Cancel,Retour,Cancel,Cancel,Cancel,Cancel,Cancel
52,Find %{amount} %{item_name} (%{found}),Trouver %{amount} %{item_name} (%{found}),Find %{amount} %{item_name} (%{found}),Find %{amount} %{item_name} (%{found}),Find %{amount} %{item_name} (%{found}),Find %{amount} %{item_name} (%{found}),Find %{amount} %{item_name} (%{found})
53,Speak to %{name},Parler à %{name},Speak to %{name},Speak to %{name},Speak to %{name},Speak to %{name},Speak to %{name}
54,See a %{name},Voir un %{name},See a %{name},See a %{name},See a %{name},See a %{name},See a %{name}
